,Unid. da Federação,Renda per capita,Tem telefone móvel celular,Para acessar à Internet utiliza-se telefone celular,Tem microcomputador,Para acessar à Internet utiliza-se microcomputador,Tem tablet,Para acessar à Internet utiliza-se tablet,Tem acesso à Internet no próprio domicilio,O acesso à Internet é feito através de sinal de rede celular 3G ou 4G,O acesso à Internet é feito através de conexão discada por linha telefônica,O acesso à Internet é feito por banda larga
65045,MG,786.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Sim
65046,MG,2383.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Sim
65047,MG,240.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Sim
65052,MG,567.0,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Sim
65056,MG,800.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Sim
65059,MG,600.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Sim
65061,MG,2300.0,Sim,Não,Sim,Sim,Não,Não,Sim,Sim,Não,Sim
65063,MG,919.0,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Não,Não
65064,MG,327.0,Sim,Não,Sim,Sim,Não,Não,Sim,Não,Não,Sim
65066,MG,585.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Sim
65070,MG,1700.0,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Não,Não
65072,MG,1394.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Sim
65081,MG,222.0,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Não,Não
65082,MG,349.0,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Não,Não
65083,MG,191.0,Sim,Sim,Não,Não,Sim,Sim,Sim,Sim,Não,Sim
65085,MG,553.0,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim
65086,MG,2397.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Sim
65090,MG,812.0,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Não,Não
65093,MG,529.0,Sim,Não,Sim,Sim,Não,Não,Sim,Não,Não,Sim
65094,MG,533.0,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Não,Sim
65097,MG,346.0,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Não,Não
65102,MG,58.0,Sim,Não,Sim,Sim,Não,Não,Sim,Sim,Não,Não
65105,MG,1788.0,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Não,Não
65130,MG,433.0,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Não,Sim
65135,MG,2583.0,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim
65137,MG,429.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Sim
65138,MG,775.0,Sim,Não,Sim,Sim,Não,Não,Sim,Não,Não,Sim
65143,MG,3000.0,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim
65145,MG,1000.0,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim
65147,MG,126.0,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Não,Não
65151,MG,125.0,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Não,Não
65152,MG,400.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Sim
65159,MG,197.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Sim
65161,MG,1988.0,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Não,Não
65164,MG,289.0,Sim,Não,Sim,Sim,Não,Não,Sim,Não,Não,Sim
