,Unid. da Federação,Renda per capita,Tem telefone móvel celular,Para acessar à Internet utiliza-se telefone celular,Tem microcomputador,Para acessar à Internet utiliza-se microcomputador,Tem tablet,Para acessar à Internet utiliza-se tablet,Tem acesso à Internet no próprio domicilio,O acesso à Internet é feito através de sinal de rede celular 3G ou 4G,O acesso à Internet é feito através de conexão discada por linha telefônica,O acesso à Internet é feito por banda larga
64902,MG,411.0,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Não,Não
64910,MG,616.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Sim
64911,MG,1062.0,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Não,Não
64931,MG,743.0,Sim,Não,Sim,Sim,Não,Não,Sim,Não,Não,Sim
64964,MG,67.0,Não,Não,Sim,Sim,Não,Não,Sim,Não,Não,Sim
64981,MG,1086.0,Sim,Não,Não,Não,Não,Não,Sim,Não,Não,Sim
64985,MG,1475.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Sim
64986,MG,570.0,Sim,Não,Sim,Sim,Não,Não,Sim,Não,Não,Sim
64991,MG,962.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Sim
64992,MG,1475.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Sim
64994,MG,850.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Sim
64996,MG,974.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Sim
64999,MG,497.0,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Não,Não
65002,MG,1833.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Sim
65008,MG,981.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Sim
65013,MG,666.0,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Não,Não
65015,MG,181.0,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Não,Não
65016,MG,986.0,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim
65017,MG,1062.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Sim
65018,MG,974.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Sim
65025,MG,1000.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Sim
65028,MG,2233.0,Sim,Não,Sim,Sim,Não,Não,Sim,Não,Não,Sim
65031,MG,625.0,Sim,Não,Sim,Sim,Não,Não,Sim,Sim,Não,Não
65036,MG,1775.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Sim
65041,MG,1850.0,Sim,Não,Sim,Sim,Não,Não,Sim,Não,Não,Sim
65047,MG,1215.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Sim
65059,MG,850.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Sim
65066,MG,608.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Sim
65072,MG,384.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Sim
65082,MG,365.0,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Não,Não
65083,MG,732.0,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Não,Não
65102,MG,275.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Sim
65105,MG,750.0,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não
65161,MG,2500.0,Sim,Não,Sim,Sim,Não,Não,Sim,Não,Não,Sim
65164,MG,1233.0,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim
65180,MG,724.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Sim
65206,MG,451.0,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Não,Não
65215,MG,503.0,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Não,Não
65216,MG,241.0,Não,Não,Sim,Sim,Não,Não,Sim,Não,Sim,Não
65224,MG,641.0,Sim,Não,Sim,Sim,Não,Não,Sim,Não,Não,Sim
65225,MG,886.0,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Sim
65232,MG,9500.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Não
65237,MG,1000.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Não
65241,MG,1150.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Não
65242,MG,500.0,Sim,Não,Sim,Sim,Não,Não,Sim,Não,Sim,Não
65249,MG,794.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Não
65250,MG,5666.0,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim
65254,MG,1032.0,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Não,Não
65257,MG,886.0,Sim,Não,Sim,Sim,Não,Não,Sim,Não,Não,Sim
65261,MG,2162.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Não
65265,MG,1833.0,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim
65268,MG,806.0,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim
65269,MG,1462.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Sim
65278,MG,782.0,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não
